iso3,owid,who,paho,acdc
PER,Peru,Peru,Peru,
PHL,Philippines,Philippines,,
PLW,Palau,Palau,,
PNG,Papua New Guinea,Papua New Guinea,,
POL,Poland,Poland,,
PRI,Puerto Rico,Puerto Rico,Puerto Rico,
PRK,Democratic People's Republic of Korea,,,
PRT,Portugal,Portugal,,
PRY,Paraguay,Paraguay,Paraguay,
PSE,Palestine,occupied Palestinian territory,,
PYF,French Polynesia,French Polynesia,,
QAT,Qatar,Qatar,,
REU,Réunion,,,
ROU,Romania,Romania,,
RUS,Russia,Russian Federation,,
RWA,Rwanda,Rwanda,,Rwanda
SAB,,,Saba,
SAU,Saudi Arabia,Saudi Arabia,,
SDN,Sudan,Sudan,,Sudan
SEN,Senegal,Senegal,,Senegal
SEU,,,Sint Eustatius,
SGP,Singapore,Singapore,,
SGS,South Georgia and the South Sandwich Islands,,,
SHN,Saint Helena,Saint Helena,,
SJM,Svalbard and Jan Mayen,,,
SLB,Solomon Islands,Solomon Islands,,
SLE,Sierra Leone,Sierra Leone,,Sierra Leone
SLV,El Salvador,El Salvador,El Salvador,
SMR,San Marino,San Marino,,
SOM,Somalia,Somalia,,Somalia
SPM,Saint Pierre and Miquelon,,,
SRB,Serbia,Serbia,,
SSD,South Sudan,South Sudan,,South Sudan
STP,Sao Tome and Principe,Sao Tome and Principe,,Sao Tome and Principe
SUR,Suriname,Suriname,Suriname,
SVK,Slovakia,Slovakia,,
SVN,Slovenia,Slovenia,,
SWE,Sweden,Sweden,,
SWZ,Eswatini,Eswatini,,Eswatini
SXM,Sint Maarten (Dutch part),Sint Maarten,Sint Maarten,
SYC,Seychelles,Seychelles,,Seychelles
SYR,Syria,Syrian Arab Republic,,
TCA,Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,
TCD,Chad,Chad,,Chad
TGO,Togo,Togo,,Togo
THA,Thailand,Thailand,,
TJK,Tajikistan,Tajikistan,,
TKL,Tokelau,Tokelau,,
TKM,Turkmenistan,Turkmenistan,,
TLS,Timor,Timor-Leste,,
TON,Tonga,Tonga,,
TTO,Trinidad and Tobago,Trinidad and Tobago,Trinidad & Tobago,
TUN,Tunisia,Tunisia,,Tunisia
TUR,Turkey,Turkey,,
TUV,Tuvalu,Tuvalu,,
TWN,Taiwan,,,
TZA,Tanzania,United Republic of Tanzania,,United Republic of Tanzania
UGA,Uganda,Uganda,,Uganda
UKR,Ukraine,Ukraine,,
UMI,United States Minor Outlying Islands,,,
URY,Uruguay,Uruguay,Uruguay,
USA,United States,United States of America,United States of America,
UZB,Uzbekistan,Uzbekistan,,
VAT,Vatican,,,
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,St Vincent & The Grenadines,
VEN,Venezuela,Venezuela (Bolivarian Republic of),Venezuela,
VGB,British Virgin Islands,British Virgin Islands,Virgin Islands (British),
VIR,United States Virgin Islands,,,
VNM,Vietnam,Viet Nam,,
VUT,Vanuatu,Vanuatu,,
WLF,Wallis and Futuna,Wallis and Futuna,,
WSM,Samoa,Samoa,,
XAA,,Bonaire,,
XBA,,Sint Eustatius,,
XCA,,Saba,,
XKX,Kosovo,Kosovo,,
YEM,Yemen,Yemen,,
ZAF,South Africa,South Africa,,South Africa
ZMB,Zambia,Zambia,,Zambia
ZWE,Zimbabwe,Zimbabwe,,Zimbabwe
,Netherlands Antilles,,,
,Africa,,,
,Asia,,,
,Northern Cyprus,,,
,England,,,
,European Union,,,
,Europe,,,
,International,,,
,North America,,,
,Northern Ireland,,,
,Oceania,,,
,South America,,,
,Scotland,,,
,Wales,,,
,World,,,
,High income,,,
,Upper middle income,,,
,Lower middle income,,,
,Low income,,,
,World excl. China,,,
